Telugu_Tokens,Tamil_Tokens
"['నాకు', 'పొట్ట', 'నొప్పి', 'ఉంది']","['எனக்கு', 'வயிறு', 'வலி', 'உள்ளது']"
"['నువ్వు', 'ఏమి', 'చేస్తున్నావు']","['நீ', 'என்ன', 'செய்கிறாய்']"
"['నువ్వు', 'ఎక్కడికి', 'వెళ్తున్నావు']","['நீ', 'எங்கு', 'செல்கிறாய்']"
"['నువ్వు', 'కాఫీ', 'తాగుతావా']","['நீ', 'காபி', 'குடிப்பாயா']"
"['నాకు', 'ఎక్కువ', 'సమయం', 'అయ్యింది']","['எனக்கு', 'நீண்ட', 'நேரம்', 'ஆகிறது']"
"['దీన్ని', 'కాస్త', 'త్వరగా', 'చేయి']","['இதைக்', 'கொஞ்சம்', 'விரைவாக', 'செய்']"
"['అతను', 'చాలా', 'చురుకుగా', 'ఉన్నాడు']","['அவன்', 'மிகவும்', 'சுறுசுறுப்பானவனாக', 'இருக்கிறான்']"
"['ఆమె', 'అందంగా', 'ఉంది']","['அவள்', 'அழகாக', 'இருக்கிறாள்']"
"['నా', 'వెంట', 'నడిచివా']","['என்னுடன்', 'நடந்து', 'வா']"
"['దీన్ని', 'ఎలా', 'చేయాలి']","['இதை', 'எப்படி', 'செய்வது']"
"['నేను', 'తినాలి']","['நான்', 'சாப்பிட', 'வேண்டும்']"
"['ఈ', 'పుస్తకం', 'బాగుంది']","['இந்தப்', 'புத்தகம்', 'நன்றாக', 'இருக்கிறது']"
"['నేను', 'నిన్ను', 'ఈరోజు', 'చూడాలనుకుంటున్నాను']","['நான்', 'உன்னை', 'இன்று', 'பார்க்க', 'விரும்புகிறேன்']"
"['నా', 'పేరు', 'విజయ్']","['என்னுடைய', 'பெயர்', 'விஜய்']"
"['మీ', 'స్నేహితులు', 'ఎక్కడ', 'ఉన్నారు']","['உங்கள்', 'நண்பர்கள்', 'எங்கே', 'இருக்கிறார்கள்']"
"['నేను', 'పనికి', 'వెళ్ళి', 'వస్తాను']","['நான்', 'வேலைக்கு', 'சென்று', 'வருகிறேன்']"
"['నువ్వు', 'కారు', 'నడుపుతావా']","['நீ', 'வண்டி', 'ஓட்டுகிறாயா']"
"['వర్షం', 'వచ్చింది']","['மழை', 'வந்துவிட்டது']"
"['నేను', 'అతన్ని', 'ప్రేమిస్తున్నాను']","['நான்', 'அவனை', 'நேசிக்கிறேன்']"
"['నీకు', 'ఏమి', 'కావాలి']","['உனக்கு', 'என்ன', 'வேண்டும்']"
"['మీరు', 'ఎంత', 'పొడవుగా', 'ఉన్నారు']","['நீங்கள்', 'எவ்வளவு', 'உயரமாக', 'இருக்கிறீர்கள்']"
"['నేను', 'ఒక', 'పాట', 'పాడాను']","['நான்', 'ஒரு', 'பாடல்', 'பாடினேன்']"
"['మీరు', 'దాన్ని', 'ఎప్పుడూ', 'పూర్తి', 'చేస్తారు']","['நீங்கள்', 'அதை', 'எப்போது', 'முடிக்கலாம்']"
"['నేను', 'సినిమాకు', 'వెళ్ళాలనుకుంటున్నాను']","['நான்', 'சினிமாவிற்கு', 'செல்ல', 'விரும்புகிறேன்']"
"['అతను', 'ఇప్పుడేం', 'చేస్తున్నాడు']","['அவன்', 'இப்போது', 'என்ன', 'செய்கிறான்']"
"['నువ్వు', 'భోజనం', 'చేశావా']","['நீ', 'உணவு', 'சாப்பிட்டாயா']"
"['నేను', 'ఈరోజు', 'పాఠశాలకు', 'వెళ్లాను']","['நான்', 'இன்று', 'பள்ளிக்கு', 'சென்றேன்']"
"['అది', 'ఎక్కడ', 'ఉంది']","['அது', 'எங்கே', 'உள்ளது']"
"['నేను', 'నీతో', 'వస్తాను']","['நான்', 'உன்னுடன்', 'வருவேன்']"
"['నేను', 'పని', 'చేస్తున్నాను']","['நான்', 'வேலை', 'செய்துகொண்டு', 'இருக்கிறேன்']"
"['ఈ', 'రోజు', 'సూర్యుడు', 'ఎక్కువగా', 'ఉన్నాడు']","['இன்று', 'சூரியன்', 'அதிகமாகவிருக்கிறது']"
"['నాకు', 'కొంచెం', 'నీళ్లు', 'ఇవ్వండి']","['எனக்கு', 'சிறிது', 'தண்ணீர்', 'கொடுங்கள்']"
"['మీరు', 'మీ', 'స్నేహితుడిని', 'కలుస్తారా']","['நீங்கள்', 'உங்கள்', 'நண்பரை', 'சந்திக்கிறீர்களா']"
"['ఇవి', 'ఏమిటో', 'నాకు', 'తెలియదు']","['இவை', 'என்னவென்று', 'எனக்கு', 'தெரியவில்லை']"
"['మీ', 'ఇంటికి', 'ఎప్పుడు', 'వెళ్ళతారు']","['உங்கள்', 'வீட்டிற்கு', 'எப்போது', 'போகிறீர்கள்']"
"['నేను', 'మీరు', 'చెప్పిన', 'పని', 'పూర్తి', 'చేశాను']","['நான்', 'நீங்கள்', 'கூறியதை', 'செய்து', 'முடித்தேன்']"
"['ఈ', 'కారు', 'నాకు', 'చాలా', 'ఇష్టం']","['இந்த', 'வண்டி', 'எனக்கு', 'மிகவும்', 'பிடித்தமானது']"
"['నేను', 'ఏదీ', 'మర్చిపోను']","['நான்', 'எதையும்', 'மறக்கமாட்டேன்']"
