,Telugu,Tamil
0,"చర్మ అభివృద్ధి; 
","தோல் அமைப்புமுறை மேம்படுத்த; 
"
1,"దశల్లో సంఖ్య C 123456789101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899100 
","நடவடிக்கைகள் எண்ணிக்கை C 123456789101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899100 
"
2,"మరింత 2,075,096 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 2,075,096 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
"
3,"అతను 90 సంవత్సరాలు. 
","அவர் 90 வயதாக இருக்கும். 
"
4,"మాకు తెలియజేయండి మరియు మీ స్నేహితులతో భాగస్వామ్యం! 
","சொல்லுங்கள், உங்கள் நண்பர்களுடன் பகிர்ந்து! 
"
5,"నాకు తెలియదు 
","எனக்கு தெரியாது 
"
6,"మేము ఎల్లప్పుడూ మీకు సహాయం సంతోషంగా ఉన్నాయి. ధన్యవాదాలు 
","நாம் எப்போதும் உங்களுக்கு உதவ மகிழ்கிறோம். நன்றி 
"
7,"మరింత చదవండి: 
","மேலும் வாசிக்க: 
"
8,"మరింత 245,684 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 245,684 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
"
9,"మరింత 131,697 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 131,697 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
"
10,"ఫోన్: 086-13685849388 
","தொலைபேசி: 086-13685849388 
"
11,"షెల్లీ: నేను మీరు కోసం చేయవచ్చు ఏమి? 
","ஷெல்லி: நான் உங்களுக்கு என்ன செய்ய முடியும்? 
"
12,"కూడా చదవండి: 
","மேலும் படிக்க: 
"
13,"మీరు ఎంత చెప్పావు? 
","நீங்கள் எவ்வளவு சொன்னீர்கள்? 
"
14,"ఆ ఎప్పుడూ జరగలేదు. 
","எப்போதும் நடந்ததில்லை. 
"
15,"కానీ అక్కడ ఆపడానికి లేదు! 
","ஆனால் அங்கு நிறுத்த வேண்டாம்! 
"
16,"నేను మీకు ఎలా సహాయపడగలను? 
","உங்களுக்காக நான் என்ன செய்ய முடியும்? 
"
17,"ఎందుకు? ఎలా? ఎవరు? ఏమి ద్వారా? 
","ஏன்? எப்படி? யார்? என்ன மூலம்? 
"
18,"మీరు ప్రపంచంలో ఏ ఆలోచిస్తే? 
","நீங்கள் உலகில் என்ன நினைக்கிறீர்கள்? 
"
