Tamil Tokens,Telugu Tokens,Tamil Bigrams,Telugu Bigrams,Telugu POS Tags,Telugu NER,Tamil Token Frequency,Telugu Token Frequency,Cosine Similarity
"['எனக்கு', 'வயிறு', 'வலி', 'உள்ளது']","['నాకు', 'పొట్ట', 'నొప్పి', 'ఉంది']","{('எனக்கு', 'வயிறு'): 0.3333333333333333, ('வயிறு', 'வலி'): 0.3333333333333333, ('வலி', 'உள்ளது'): 0.3333333333333333}","{('నాకు', 'పొట్ట'): 0.3333333333333333, ('పొట్ట', 'నొప్పి'): 0.3333333333333333, ('నొప్పి', 'ఉంది'): 0.3333333333333333}","[('నాకు', 'OTHER'), ('పొట్ట', 'OTHER'), ('నొప్పి', 'OTHER'), ('ఉంది', 'OTHER')]","[('నాకు', 'O'), ('పొట్ట', 'O'), ('నొప్పి', 'O'), ('ఉంది', 'O')]","{'எனக்கு': 1, 'வயிறு': 1, 'வலி': 1, 'உள்ளது': 1}","{'నాకు': 1, 'పొట్ట': 1, 'నొప్పి': 1, 'ఉంది': 1}",0.0
"['நீ', 'என்ன', 'செய்கிறாய்']","['నువ్వు', 'ఏమి', 'చేస్తున్నావు']","{('நீ', 'என்ன'): 0.5, ('என்ன', 'செய்கிறாய்'): 0.5}","{('నువ్వు', 'ఏమి'): 0.5, ('ఏమి', 'చేస్తున్నావు'): 0.5}","[('నువ్వు', 'OTHER'), ('ఏమి', 'OTHER'), ('చేస్తున్నావు', 'OTHER')]","[('నువ్వు', 'O'), ('ఏమి', 'O'), ('చేస్తున్నావు', 'O')]","{'நீ': 1, 'என்ன': 1, 'செய்கிறாய்': 1}","{'నువ్వు': 1, 'ఏమి': 1, 'చేస్తున్నావు': 1}",0.0
"['நீ', 'எங்கு', 'செல்கிறாய்']","['నువ్వు', 'ఎక్కడికి', 'వెళ్తున్నావు']","{('நீ', 'எங்கு'): 0.5, ('எங்கு', 'செல்கிறாய்'): 0.5}","{('నువ్వు', 'ఎక్కడికి'): 0.5, ('ఎక్కడికి', 'వెళ్తున్నావు'): 0.5}","[('నువ్వు', 'OTHER'), ('ఎక్కడికి', 'OTHER'), ('వెళ్తున్నావు', 'OTHER')]","[('నువ్వు', 'O'), ('ఎక్కడికి', 'O'), ('వెళ్తున్నావు', 'O')]","{'நீ': 1, 'எங்கு': 1, 'செல்கிறாய்': 1}","{'నువ్వు': 1, 'ఎక్కడికి': 1, 'వెళ్తున్నావు': 1}",0.0
"['நீ', 'காபி', 'குடிப்பாயா']","['నువ్వు', 'కాఫీ', 'తాగుతావా']","{('நீ', 'காபி'): 0.5, ('காபி', 'குடிப்பாயா'): 0.5}","{('నువ్వు', 'కాఫీ'): 0.5, ('కాఫీ', 'తాగుతావా'): 0.5}","[('నువ్వు', 'OTHER'), ('కాఫీ', 'OTHER'), ('తాగుతావా', 'OTHER')]","[('నువ్వు', 'O'), ('కాఫీ', 'O'), ('తాగుతావా', 'O')]","{'நீ': 1, 'காபி': 1, 'குடிப்பாயா': 1}","{'నువ్వు': 1, 'కాఫీ': 1, 'తాగుతావా': 1}",0.0
"['எனக்கு', 'நீண்ட', 'நேரம்', 'ஆகிறது']","['నాకు', 'ఎక్కువ', 'సమయం', 'అయ్యింది']","{('எனக்கு', 'நீண்ட'): 0.3333333333333333, ('நீண்ட', 'நேரம்'): 0.3333333333333333, ('நேரம்', 'ஆகிறது'): 0.3333333333333333}","{('నాకు', 'ఎక్కువ'): 0.3333333333333333, ('ఎక్కువ', 'సమయం'): 0.3333333333333333, ('సమయం', 'అయ్యింది'): 0.3333333333333333}","[('నాకు', 'OTHER'), ('ఎక్కువ', 'OTHER'), ('సమయం', 'OTHER'), ('అయ్యింది', 'OTHER')]","[('నాకు', 'O'), ('ఎక్కువ', 'O'), ('సమయం', 'O'), ('అయ్యింది', 'O')]","{'எனக்கு': 1, 'நீண்ட': 1, 'நேரம்': 1, 'ஆகிறது': 1}","{'నాకు': 1, 'ఎక్కువ': 1, 'సమయం': 1, 'అయ్యింది': 1}",0.0
"['இதைக்', 'கொஞ்சம்', 'விரைவாக', 'செய்']","['దీన్ని', 'కాస్త', 'త్వరగా', 'చేయి']","{('இதைக்', 'கொஞ்சம்'): 0.3333333333333333, ('கொஞ்சம்', 'விரைவாக'): 0.3333333333333333, ('விரைவாக', 'செய்'): 0.3333333333333333}","{('దీన్ని', 'కాస్త'): 0.3333333333333333, ('కాస్త', 'త్వరగా'): 0.3333333333333333, ('త్వరగా', 'చేయి'): 0.3333333333333333}","[('దీన్ని', 'OTHER'), ('కాస్త', 'OTHER'), ('త్వరగా', 'OTHER'), ('చేయి', 'OTHER')]","[('దీన్ని', 'O'), ('కాస్త', 'O'), ('త్వరగా', 'O'), ('చేయి', 'O')]","{'இதைக்': 1, 'கொஞ்சம்': 1, 'விரைவாக': 1, 'செய்': 1}","{'దీన్ని': 1, 'కాస్త': 1, 'త్వరగా': 1, 'చేయి': 1}",0.0
"['அவன்', 'மிகவும்', 'சுறுசுறுப்பானவனாக', 'இருக்கிறான்']","['అతను', 'చాలా', 'చురుకుగా', 'ఉన్నాడు']","{('அவன்', 'மிகவும்'): 0.3333333333333333, ('மிகவும்', 'சுறுசுறுப்பானவனாக'): 0.3333333333333333, ('சுறுசுறுப்பானவனாக', 'இருக்கிறான்'): 0.3333333333333333}","{('అతను', 'చాలా'): 0.3333333333333333, ('చాలా', 'చురుకుగా'): 0.3333333333333333, ('చురుకుగా', 'ఉన్నాడు'): 0.3333333333333333}","[('అతను', 'OTHER'), ('చాలా', 'OTHER'), ('చురుకుగా', 'OTHER'), ('ఉన్నాడు', 'OTHER')]","[('అతను', 'O'), ('చాలా', 'O'), ('చురుకుగా', 'O'), ('ఉన్నాడు', 'O')]","{'அவன்': 1, 'மிகவும்': 1, 'சுறுசுறுப்பானவனாக': 1, 'இருக்கிறான்': 1}","{'అతను': 1, 'చాలా': 1, 'చురుకుగా': 1, 'ఉన్నాడు': 1}",0.0
"['அவள்', 'அழகாக', 'இருக்கிறாள்']","['ఆమె', 'అందంగా', 'ఉంది']","{('அவள்', 'அழகாக'): 0.5, ('அழகாக', 'இருக்கிறாள்'): 0.5}","{('ఆమె', 'అందంగా'): 0.5, ('అందంగా', 'ఉంది'): 0.5}","[('ఆమె', 'OTHER'), ('అందంగా', 'OTHER'), ('ఉంది', 'OTHER')]","[('ఆమె', 'O'), ('అందంగా', 'O'), ('ఉంది', 'O')]","{'அவள்': 1, 'அழகாக': 1, 'இருக்கிறாள்': 1}","{'ఆమె': 1, 'అందంగా': 1, 'ఉంది': 1}",0.0
"['என்னுடன்', 'நடந்து', 'வா']","['నా', 'వెంట', 'నడిచివా']","{('என்னுடன்', 'நடந்து'): 0.5, ('நடந்து', 'வா'): 0.5}","{('నా', 'వెంట'): 0.5, ('వెంట', 'నడిచివా'): 0.5}","[('నా', 'OTHER'), ('వెంట', 'OTHER'), ('నడిచివా', 'OTHER')]","[('నా', 'O'), ('వెంట', 'O'), ('నడిచివా', 'O')]","{'என்னுடன்': 1, 'நடந்து': 1, 'வா': 1}","{'నా': 1, 'వెంట': 1, 'నడిచివా': 1}",0.0
"['இதை', 'எப்படி', 'செய்வது']","['దీన్ని', 'ఎలా', 'చేయాలి']","{('இதை', 'எப்படி'): 0.5, ('எப்படி', 'செய்வது'): 0.5}","{('దీన్ని', 'ఎలా'): 0.5, ('ఎలా', 'చేయాలి'): 0.5}","[('దీన్ని', 'OTHER'), ('ఎలా', 'OTHER'), ('చేయాలి', 'OTHER')]","[('దీన్ని', 'O'), ('ఎలా', 'O'), ('చేయాలి', 'O')]","{'இதை': 1, 'எப்படி': 1, 'செய்வது': 1}","{'దీన్ని': 1, 'ఎలా': 1, 'చేయాలి': 1}",0.0
