Telugu_Word,Telugu_Index,Tamil_Word,Tamil_Index
మీరు,1.0,தொலைபேசி,1
ఫోన్,2.0,நீங்கள்,2
నేను,3.0,நான்,3
మేము,4.0,என்ன,4
ఈ,5.0,உங்கள்,5
మరియు,6.0,நாம்,6
మీ,7.0,வேண்டும்,7
మాకు,8.0,நாங்கள்,8
ఏమి,9.0,இந்த,9
కాల్,10.0,மற்றும்,10
ఇది,11.0,ஒரு,11
టెల్,12.0,மேலும்,12
ఇప్పుడు,13.0,எங்களுக்கு,13
ఒక,14.0,மே,14
నాకు,15.0,இது,15
మే,16.0,உங்களுக்கு,16
సహాయం,17.0,அது,17
ఎలా,18.0,செய்ய,18
కోసం,19.0,எப்படி,19
చాలా,20.0,நன்றி,20
ఉన్నారు,21.0,முடியும்,21
అది,22.0,இப்போது,22
మరింత,23.0,மிகவும்,23
ధన్యవాదాలు,24.0,எனக்கு,24
దయచేసి,25.0,எங்களை,25
ఉంది,26.0,உதவ,26
ఉంటే,27.0,நீ,27
మా,28.0,ஏன்,28
మీకు,29.0,பக்கம்,29
ఏ,30.0,வேலை,30
ఇక్కడ,31.0,என்று,31
ఎందుకు,32.0,நிறுவனங்கள்,32
పని,33.0,ஏற்கனவே,33
అన్ని,34.0,எந்த,34
పేజీ,35.0,தொடர்பு,35
గురించి,36.0,எங்கள்,36
మాతో,37.0,பற்றி,37
యొక్క,38.0,இங்கே,38
సమయం,39.0,எங்களுடன்,39
కంపెనీలు,40.0,அதை,40
ఎల్లప్పుడూ,41.0,யார்,41
నుండి,42.0,பிசிக்கள்,42
కలిగి,43.0,இன்று,43
మద్దతు,44.0,இல்லை,44
తర్వాత,45.0,இருந்தால்,45
ఉంటుంది,46.0,அழைப்பு,46
ప్రశ్నలు,47.0,ஆதரவு,47
ఏమిటి,48.0,விரும்புகிறேன்,48
చివరి,49.0,இருந்து,49
సంప్రదించండి,50.0,அனைத்து,50
లు,51.0,கால்,51
కర్ల్,52.0,கேள்விகள்,52
కూడా,53.0,அடுத்த,53
తదుపరి,54.0,மணி,54
వెంట్రుష్,55.0,கர்ல்,55
నువ్వు,56.0,எவ்வளவு,56
నిజంగా,57.0,ஆனால்,57
లేదు,58.0,டெல்,58
అతను,59.0,அல்லது,59
ఆమె,60.0,நேரம்,60
పేరు,61.0,பெயர்,61
ఎంత,62.0,என்னை,62
కానీ,63.0,©,63
కాదు,64.0,அடுத்து,64
స్వాగతం,65.0,மிஸ்லாடோட்,65
అవసరం,66.0,இதை,66
చేయండి,67.0,செய்து,67
లేదా,68.0,எப்போதும்,68
©,69.0,படிக்க,69
మిస్లాండోడ్,70.0,கொள்ள,70
ఇష్టం,71.0,நல்ல,71
చేయవచ్చు,72.0,நீட்டிப்பு,72
ఎవరు,73.0,உள்ளது,73
మనం,74.0,இருக்கிறது,74
చెప్పారు,75.0,எங்கே,75
మంచి,76.0,முகப்பு,76
కంటే,77.0,முதல்,77
లో,78.0,பதில்,78
నా,79.0,ஃப்ளாட்,79
రోజు,80.0,கண்ணிஷ்,80
కొన్ని,81.0,அவள்,81
చదవండి,82.0,இப்போது,82
ఆ,83.0,இன்னும்,83
న,84.0,புதிய,84
వాల్యూమ్,85.0,மிமீ,85
మమ్మల్ని,86.0,தொலைநகல்,86
గంటల్లో,87.0,மீண்டும்,87
ప్రతి,88.0,ஏதாவது,88
ఫ్లాట్,89.0,இருக்கிறேன்,89
ఎక్స్టెన్షన్,90.0,சில,90
ఎక్కడ,91.0,விரும்புகிறீர்களா,91
హోమ్,92.0,அவர்,92
సమాధానం,93.0,இருக்கும்,93
ఫ్యాక్స్,94.0,என்றால்,94
సమస్య,95.0,தெரியப்படுத்துங்கள்,95
కాబట్టి,96.0,வரவேற்கிறோம்,96
చేస్తుంది,97.0,சிறந்த,97
ఎక్కువ,98.0,உதவி,98
చేయాలి,99.0,கூட,99
వేచి,100.0,இருக்க,100
ఉన్నాయి,101.0,எனவே,101
ఆనందించండి,102.0,உரிமைகளும்,102
మొదటి,103.0,ஜூன்,103
ఉత్తమ,104.0,அன்று,104
సులభం,105.0,மக்கள்,105
ప్రేమ,106.0,நாட்கள்,106
ప్రశ్న,107.0,உன்னை,107
మిస్లేలొడ్,108.0,தெரியும்,108
వద్ద,109.0,உள்ளன,109
రోజులు,110.0,வேண்டாம்,110
వచ్చింది,111.0,மூலம்,111
పూర్తి,112.0,அழைக்கவும்,112
చేస్తారు,113.0,நம்புகிறேன்,113
తెలియదు,114.0,தேவை,114
మీతో,115.0,கேள்வி,115
నన్ను,116.0,உண்மையில்,116
తిరిగి,117.0,பெரிய,117
తెలుసు,118.0,வழி,118
ఇంకా,119.0,தயாரிப்புகள்,119
నుంచి,120.0,அழைக்க,120
ద్వారా,121.0,பாதுகாக்கப்பட்டவை,121
ఆశిస్తున్నాము,122.0,»,122
ఎవరము,123.0,இல்,123
వంటి,124.0,வளர்ந்து,124
చూడండి,125.0,க்கும்,125
ప్రీఫిన్డ్,126.0,பார்வையாளர்கள்,126
ఏం,127.0,ஏதேனும்,127
ఉండాలి,128.0,என்ற,128
తనిఖీ,129.0,டி,129
మళ్ళీ,130.0,ஒவ்வொரு,130
ఉత్పత్తులు,131.0,கடைசியாக,131
సమాచారం,132.0,அவன்,132
ఉండండి,133.0,இந்தப்,133
మాత్రమే,134.0,பார்க்க,134
సంవత్సరాల,135.0,உனக்கு,135
ప్రపంచ,136.0,எப்போது,136
పేజీలో,137.0,உணவு,137
ఉన్నాను,138.0,என்னிடம்,138
కొత్త,139.0,பெற,139
తెలియజేయండి,140.0,உங்களிடம்,140
అక్కడ,141.0,கேட்க,141
చేసిన,142.0,தெரியுமா,142
సిద్ధంగా,143.0,உங்களுக்காக,143
మరిన్ని,144.0,தயாராக,144
ఉండవచ్చు,145.0,முன்வார்ன்ட்,145
ఏదో,146.0,ஒருவேளை,146
టెలిఫోన్,147.0,வால்யூம்,147
ఉన్నాము,148.0,யாராவது,148
తో,149.0,அந்த,149
ఎవరైనా,150.0,கொள்ளவும்,150
హలో,151.0,பணம்,151
అవును,152.0,கடந்த,152
టచ్,153.0,தயவு,153
అర్థం,154.0,மின்னஞ்சல்,154
