Telugu,Tamil,Tamil_tokens,Telugu_tokens,Tamil_POS,Telugu_POS,Tamil_NER,Telugu_NER
నాకు పొట్ట నొప్పి ఉంది,எனக்கு வயிறு வலி உள்ளது,"['எனக்கு', 'வயிறு', 'வலி', 'உள்ளது']","['నాకు', 'పొట్ట', 'నొప్పి', 'ఉంది']","[('எனக்கு', 'NOUN'), ('வயிறு', 'NOUN'), ('வலி', 'NOUN'), ('உள்ளது', 'NOUN')]","[('నాకు', 'NOUN'), ('పొట్ట', 'NOUN'), ('నొప్పి', 'NOUN'), ('ఉంది', 'NOUN')]","[('எனக்கு', 'O'), ('வயிறு', 'O'), ('வலி', 'O'), ('உள்ளது', 'O')]","[('నాకు', 'O'), ('పొట్ట', 'O'), ('నొప్పి', 'O'), ('ఉంది', 'O')]"
నువ్వు ఏమి చేస్తున్నావు,நீ என்ன செய்கிறாய்,"['நீ', 'என்ன', 'செய்கிறாய்']","['నువ్వు', 'ఏమి', 'చేస్తున్నావు']","[('நீ', 'NOUN'), ('என்ன', 'NOUN'), ('செய்கிறாய்', 'NOUN')]","[('నువ్వు', 'NOUN'), ('ఏమి', 'NOUN'), ('చేస్తున్నావు', 'NOUN')]","[('நீ', 'O'), ('என்ன', 'O'), ('செய்கிறாய்', 'O')]","[('నువ్వు', 'O'), ('ఏమి', 'O'), ('చేస్తున్నావు', 'O')]"
నువ్వు ఎక్కడికి వెళ్తున్నావు,நீ எங்கு செல்கிறாய்,"['நீ', 'எங்கு', 'செல்கிறாய்']","['నువ్వు', 'ఎక్కడికి', 'వెళ్తున్నావు']","[('நீ', 'NOUN'), ('எங்கு', 'NOUN'), ('செல்கிறாய்', 'NOUN')]","[('నువ్వు', 'NOUN'), ('ఎక్కడికి', 'POSTP'), ('వెళ్తున్నావు', 'NOUN')]","[('நீ', 'O'), ('எங்கு', 'O'), ('செல்கிறாய்', 'O')]","[('నువ్వు', 'O'), ('ఎక్కడికి', 'O'), ('వెళ్తున్నావు', 'O')]"
నువ్వు కాఫీ తాగుతావా,நீ காபி குடிப்பாயா,"['நீ', 'காபி', 'குடிப்பாயா']","['నువ్వు', 'కాఫీ', 'తాగుతావా']","[('நீ', 'NOUN'), ('காபி', 'NOUN'), ('குடிப்பாயா', 'NOUN')]","[('నువ్వు', 'NOUN'), ('కాఫీ', 'NOUN'), ('తాగుతావా', 'NOUN')]","[('நீ', 'O'), ('காபி', 'O'), ('குடிப்பாயா', 'O')]","[('నువ్వు', 'O'), ('కాఫీ', 'O'), ('తాగుతావా', 'O')]"
నాకు ఎక్కువ సమయం అయ్యింది,எனக்கு நீண்ட நேரம் ஆகிறது,"['எனக்கு', 'நீண்ட', 'நேரம்', 'ஆகிறது']","['నాకు', 'ఎక్కువ', 'సమయం', 'అయ్యింది']","[('எனக்கு', 'NOUN'), ('நீண்ட', 'NOUN'), ('நேரம்', 'NOUN'), ('ஆகிறது', 'NOUN')]","[('నాకు', 'NOUN'), ('ఎక్కువ', 'NOUN'), ('సమయం', 'VERB'), ('అయ్యింది', 'NOUN')]","[('எனக்கு', 'O'), ('நீண்ட', 'O'), ('நேரம்', 'O'), ('ஆகிறது', 'O')]","[('నాకు', 'O'), ('ఎక్కువ', 'O'), ('సమయం', 'O'), ('అయ్యింది', 'O')]"
దీన్ని కాస్త త్వరగా చేయి,இதைக் கொஞ்சம் விரைவாக செய்,"['இதைக்', 'கொஞ்சம்', 'விரைவாக', 'செய்']","['దీన్ని', 'కాస్త', 'త్వరగా', 'చేయి']","[('இதைக்', 'NOUN'), ('கொஞ்சம்', 'NOUN'), ('விரைவாக', 'NOUN'), ('செய்', 'NOUN')]","[('దీన్ని', 'NOUN'), ('కాస్త', 'NOUN'), ('త్వరగా', 'NOUN'), ('చేయి', 'NOUN')]","[('இதைக்', 'O'), ('கொஞ்சம்', 'O'), ('விரைவாக', 'O'), ('செய்', 'O')]","[('దీన్ని', 'O'), ('కాస్త', 'O'), ('త్వరగా', 'O'), ('చేయి', 'O')]"
అతను చాలా చురుకుగా ఉన్నాడు,அவன் மிகவும் சுறுசுறுப்பானவனாக இருக்கிறான்,"['அவன்', 'மிகவும்', 'சுறுசுறுப்பானவனாக', 'இருக்கிறான்']","['అతను', 'చాలా', 'చురుకుగా', 'ఉన్నాడు']","[('அவன்', 'NOUN'), ('மிகவும்', 'NOUN'), ('சுறுசுறுப்பானவனாக', 'NOUN'), ('இருக்கிறான்', 'NOUN')]","[('అతను', 'NOUN'), ('చాలా', 'NOUN'), ('చురుకుగా', 'NOUN'), ('ఉన్నాడు', 'NOUN')]","[('அவன்', 'O'), ('மிகவும்', 'O'), ('சுறுசுறுப்பானவனாக', 'O'), ('இருக்கிறான்', 'O')]","[('అతను', 'O'), ('చాలా', 'O'), ('చురుకుగా', 'O'), ('ఉన్నాడు', 'O')]"
ఆమె అందంగా ఉంది,அவள் அழகாக இருக்கிறாள்,"['அவள்', 'அழகாக', 'இருக்கிறாள்']","['ఆమె', 'అందంగా', 'ఉంది']","[('அவள்', 'NOUN'), ('அழகாக', 'NOUN'), ('இருக்கிறாள்', 'NOUN')]","[('ఆమె', 'NOUN'), ('అందంగా', 'NOUN'), ('ఉంది', 'NOUN')]","[('அவள்', 'O'), ('அழகாக', 'O'), ('இருக்கிறாள்', 'O')]","[('ఆమె', 'O'), ('అందంగా', 'O'), ('ఉంది', 'O')]"
నా వెంట నడిచివా,என்னுடன் நடந்து வா,"['என்னுடன்', 'நடந்து', 'வா']","['నా', 'వెంట', 'నడిచివా']","[('என்னுடன்', 'NOUN'), ('நடந்து', 'NOUN'), ('வா', 'NOUN')]","[('నా', 'NOUN'), ('వెంట', 'NOUN'), ('నడిచివా', 'NOUN')]","[('என்னுடன்', 'O'), ('நடந்து', 'O'), ('வா', 'O')]","[('నా', 'O'), ('వెంట', 'O'), ('నడిచివా', 'O')]"
దీన్ని ఎలా చేయాలి,இதை எப்படி செய்வது,"['இதை', 'எப்படி', 'செய்வது']","['దీన్ని', 'ఎలా', 'చేయాలి']","[('இதை', 'NOUN'), ('எப்படி', 'NOUN'), ('செய்வது', 'NOUN')]","[('దీన్ని', 'NOUN'), ('ఎలా', 'NOUN'), ('చేయాలి', 'NOUN')]","[('இதை', 'O'), ('எப்படி', 'O'), ('செய்வது', 'O')]","[('దీన్ని', 'O'), ('ఎలా', 'O'), ('చేయాలి', 'O')]"
నేను తినాలి,நான் சாப்பிட வேண்டும்,"['நான்', 'சாப்பிட', 'வேண்டும்']","['నేను', 'తినాలి']","[('நான்', 'NOUN'), ('சாப்பிட', 'NOUN'), ('வேண்டும்', 'NOUN')]","[('నేను', 'NOUN'), ('తినాలి', 'NOUN')]","[('நான்', 'O'), ('சாப்பிட', 'O'), ('வேண்டும்', 'O')]","[('నేను', 'O'), ('తినాలి', 'O')]"
ఈ పుస్తకం బాగుంది,இந்தப் புத்தகம் நன்றாக இருக்கிறது,"['இந்தப்', 'புத்தகம்', 'நன்றாக', 'இருக்கிறது']","['ఈ', 'పుస్తకం', 'బాగుంది']","[('இந்தப்', 'NOUN'), ('புத்தகம்', 'NOUN'), ('நன்றாக', 'NOUN'), ('இருக்கிறது', 'NOUN')]","[('ఈ', 'NOUN'), ('పుస్తకం', 'VERB'), ('బాగుంది', 'NOUN')]","[('இந்தப்', 'O'), ('புத்தகம்', 'O'), ('நன்றாக', 'O'), ('இருக்கிறது', 'O')]","[('ఈ', 'O'), ('పుస్తకం', 'O'), ('బాగుంది', 'O')]"
నేను నిన్ను ఈరోజు చూడాలనుకుంటున్నాను,நான் உன்னை இன்று பார்க்க விரும்புகிறேன்,"['நான்', 'உன்னை', 'இன்று', 'பார்க்க', 'விரும்புகிறேன்']","['నేను', 'నిన్ను', 'ఈరోజు', 'చూడాలనుకుంటున్నాను']","[('நான்', 'NOUN'), ('உன்னை', 'NOUN'), ('இன்று', 'NOUN'), ('பார்க்க', 'NOUN'), ('விரும்புகிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('నిన్ను', 'NOUN'), ('ఈరోజు', 'NOUN'), ('చూడాలనుకుంటున్నాను', 'NOUN')]","[('நான்', 'O'), ('உன்னை', 'O'), ('இன்று', 'O'), ('பார்க்க', 'O'), ('விரும்புகிறேன்', 'O')]","[('నేను', 'O'), ('నిన్ను', 'O'), ('ఈరోజు', 'O'), ('చూడాలనుకుంటున్నాను', 'O')]"
నా పేరు విజయ్,என்னுடைய பெயர் விஜய்,"['என்னுடைய', 'பெயர்', 'விஜய்']","['నా', 'పేరు', 'విజయ్']","[('என்னுடைய', 'NOUN'), ('பெயர்', 'NOUN'), ('விஜய்', 'NOUN')]","[('నా', 'NOUN'), ('పేరు', 'NOUN'), ('విజయ్', 'NOUN')]","[('என்னுடைய', 'O'), ('பெயர்', 'O'), ('விஜய்', 'O')]","[('నా', 'O'), ('పేరు', 'O'), ('విజయ్', 'O')]"
మీ స్నేహితులు ఎక్కడ ఉన్నారు,உங்கள் நண்பர்கள் எங்கே இருக்கிறார்கள்,"['உங்கள்', 'நண்பர்கள்', 'எங்கே', 'இருக்கிறார்கள்']","['మీ', 'స్నేహితులు', 'ఎక్కడ', 'ఉన్నారు']","[('உங்கள்', 'NOUN'), ('நண்பர்கள்', 'NOUN'), ('எங்கே', 'NOUN'), ('இருக்கிறார்கள்', 'NOUN')]","[('మీ', 'NOUN'), ('స్నేహితులు', 'NOUN'), ('ఎక్కడ', 'NOUN'), ('ఉన్నారు', 'NOUN')]","[('உங்கள்', 'O'), ('நண்பர்கள்', 'O'), ('எங்கே', 'O'), ('இருக்கிறார்கள்', 'O')]","[('మీ', 'O'), ('స్నేహితులు', 'O'), ('ఎక్కడ', 'O'), ('ఉన్నారు', 'O')]"
నేను పనికి వెళ్ళి వస్తాను,நான் வேலைக்கு சென்று வருகிறேன்,"['நான்', 'வேலைக்கு', 'சென்று', 'வருகிறேன்']","['నేను', 'పనికి', 'వెళ్ళి', 'వస్తాను']","[('நான்', 'NOUN'), ('வேலைக்கு', 'NOUN'), ('சென்று', 'NOUN'), ('வருகிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('పనికి', 'POSTP'), ('వెళ్ళి', 'NOUN'), ('వస్తాను', 'NOUN')]","[('நான்', 'O'), ('வேலைக்கு', 'O'), ('சென்று', 'O'), ('வருகிறேன்', 'O')]","[('నేను', 'O'), ('పనికి', 'O'), ('వెళ్ళి', 'O'), ('వస్తాను', 'O')]"
నువ్వు కారు నడుపుతావా,நீ வண்டி ஓட்டுகிறாயா,"['நீ', 'வண்டி', 'ஓட்டுகிறாயா']","['నువ్వు', 'కారు', 'నడుపుతావా']","[('நீ', 'NOUN'), ('வண்டி', 'NOUN'), ('ஓட்டுகிறாயா', 'NOUN')]","[('నువ్వు', 'NOUN'), ('కారు', 'NOUN'), ('నడుపుతావా', 'NOUN')]","[('நீ', 'O'), ('வண்டி', 'O'), ('ஓட்டுகிறாயா', 'O')]","[('నువ్వు', 'O'), ('కారు', 'O'), ('నడుపుతావా', 'O')]"
వర్షం వచ్చింది,மழை வந்துவிட்டது,"['மழை', 'வந்துவிட்டது']","['వర్షం', 'వచ్చింది']","[('மழை', 'NOUN'), ('வந்துவிட்டது', 'NOUN')]","[('వర్షం', 'VERB'), ('వచ్చింది', 'NOUN')]","[('மழை', 'O'), ('வந்துவிட்டது', 'O')]","[('వర్షం', 'O'), ('వచ్చింది', 'O')]"
నేను అతన్ని ప్రేమిస్తున్నాను,நான் அவனை நேசிக்கிறேன்,"['நான்', 'அவனை', 'நேசிக்கிறேன்']","['నేను', 'అతన్ని', 'ప్రేమిస్తున్నాను']","[('நான்', 'NOUN'), ('அவனை', 'NOUN'), ('நேசிக்கிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('అతన్ని', 'NOUN'), ('ప్రేమిస్తున్నాను', 'NOUN')]","[('நான்', 'O'), ('அவனை', 'O'), ('நேசிக்கிறேன்', 'O')]","[('నేను', 'O'), ('అతన్ని', 'O'), ('ప్రేమిస్తున్నాను', 'O')]"
నీకు ఏమి కావాలి,உனக்கு என்ன வேண்டும்,"['உனக்கு', 'என்ன', 'வேண்டும்']","['నీకు', 'ఏమి', 'కావాలి']","[('உனக்கு', 'NOUN'), ('என்ன', 'NOUN'), ('வேண்டும்', 'NOUN')]","[('నీకు', 'NOUN'), ('ఏమి', 'NOUN'), ('కావాలి', 'NOUN')]","[('உனக்கு', 'O'), ('என்ன', 'O'), ('வேண்டும்', 'O')]","[('నీకు', 'O'), ('ఏమి', 'O'), ('కావాలి', 'O')]"
మీరు ఎంత పొడవుగా ఉన్నారు,நீங்கள் எவ்வளவு உயரமாக இருக்கிறீர்கள்,"['நீங்கள்', 'எவ்வளவு', 'உயரமாக', 'இருக்கிறீர்கள்']","['మీరు', 'ఎంత', 'పొడవుగా', 'ఉన్నారు']","[('நீங்கள்', 'NOUN'), ('எவ்வளவு', 'NOUN'), ('உயரமாக', 'NOUN'), ('இருக்கிறீர்கள்', 'NOUN')]","[('మీరు', 'NOUN'), ('ఎంత', 'NOUN'), ('పొడవుగా', 'NOUN'), ('ఉన్నారు', 'NOUN')]","[('நீங்கள்', 'O'), ('எவ்வளவு', 'O'), ('உயரமாக', 'O'), ('இருக்கிறீர்கள்', 'O')]","[('మీరు', 'O'), ('ఎంత', 'O'), ('పొడవుగా', 'O'), ('ఉన్నారు', 'O')]"
నేను ఒక పాట పాడాను,நான் ஒரு பாடல் பாடினேன்,"['நான்', 'ஒரு', 'பாடல்', 'பாடினேன்']","['నేను', 'ఒక', 'పాట', 'పాడాను']","[('நான்', 'NOUN'), ('ஒரு', 'NOUN'), ('பாடல்', 'POSTP'), ('பாடினேன்', 'NOUN')]","[('నేను', 'NOUN'), ('ఒక', 'NOUN'), ('పాట', 'NOUN'), ('పాడాను', 'NOUN')]","[('நான்', 'O'), ('ஒரு', 'O'), ('பாடல்', 'O'), ('பாடினேன்', 'O')]","[('నేను', 'O'), ('ఒక', 'O'), ('పాట', 'O'), ('పాడాను', 'O')]"
