எனக்கு வயிறு வலி உள்ளது, నాకు పొట్ట నొప్పి ఉంది
நீ என்ன செய்கிறாய்?, నువ్వు ఏమి చేస్తున్నావు?
நீ எங்கு செல்கிறாய்?, నువ్వు ఎక్కడికి వెళ్తున్నావు?
நீ காபி குடிப்பாயா?, నువ్వు కాఫీ తాగుతావా?
எனக்கு நீண்ட நேரம் ஆகிறது, నాకు ఎక్కువ సమయం అయ్యింది
இதைக் கொஞ்சம் விரைவாக செய், దీన్ని కాస్త త్వరగా చేయి
அவன் மிகவும் சுறுசுறுப்பானவனாக இருக்கிறான், అతను చాలా చురుకుగా ఉన్నాడు
அவள் அழகாக இருக்கிறாள், ఆమె అందంగా ఉంది
என்னுடன் நடந்து வா, నా వెంట నడిచివా
இதை எப்படி செய்வது?, దీన్ని ఎలా చేయాలి?
நான் சாப்பிட வேண்டும், నేను తినాలి
இந்தப் புத்தகம் நன்றாக இருக்கிறது, ఈ పుస్తకం బాగుంది
நான் உன்னை இன்று பார்க்க விரும்புகிறேன், నేను నిన్ను ఈరోజు చూడాలనుకుంటున్నాను
என்னுடைய பெயர் விஜய், నా పేరు విజయ్
உங்கள் நண்பர்கள் எங்கே இருக்கிறார்கள்?, మీ స్నేహితులు ఎక్కడ ఉన్నారు?
நான் வேலைக்கு சென்று வருகிறேன், నేను పనికి వెళ్ళి వస్తాను
நீ வண்டி ஓட்டுகிறாயா?, నువ్వు కారు నడుపుతావా?
மழை வந்துவிட்டது, వర్షం వచ్చింది
நான் அவனை நேசிக்கிறேன், నేను అతన్ని ప్రేమిస్తున్నాను
உனக்கு என்ன வேண்டும்?, నీకు ఏమి కావాలి?
நீங்கள் எவ்வளவு உயரமாக இருக்கிறீர்கள்?, మీరు ఎంత పొడవుగా ఉన్నారు?
நான் ஒரு பாடல் பாடினேன், నేను ఒక పాట పాడాను
நீங்கள் அதை எப்போது முடிக்கலாம்?, మీరు దాన్ని ఎప్పుడూ పూర్తి చేస్తారు?
நான் சினிமாவிற்கு செல்ல விரும்புகிறேன், నేను సినిమాకు వెళ్ళాలనుకుంటున్నాను
அவன் இப்போது என்ன செய்கிறான்?, అతను ఇప్పుడేం చేస్తున్నాడు?
நீ உணவு சாப்பிட்டாயா?, నువ్వు భోజనం చేశావా?
நான் இன்று பள்ளிக்கு சென்றேன், నేను ఈరోజు పాఠశాలకు వెళ్లాను
அது எங்கே உள்ளது?, అది ఎక్కడ ఉంది?
நான் உன்னுடன் வருவேன், నేను నీతో వస్తాను
நான் வேலை செய்துகொண்டு இருக்கிறேன், నేను పని చేస్తున్నాను
இன்று சூரியன் அதிகமாகவிருக்கிறது, ఈ రోజు సూర్యుడు ఎక్కువగా ఉన్నాడు
எனக்கு சிறிது தண்ணீர் கொடுங்கள், నాకు కొంచెం నీళ్లు ఇవ్వండి
நீங்கள் உங்கள் நண்பரை சந்திக்கிறீர்களா?, మీరు మీ స్నేహితుడిని కలుస్తారా?
இவை என்னவென்று எனக்கு தெரியவில்லை, ఇవి ఏమిటో నాకు తెలియదు
உங்கள் வீட்டிற்கு எப்போது போகிறீர்கள்?, మీ ఇంటికి ఎప్పుడు వెళ్ళతారు?
நான் நீங்கள் கூறியதை செய்து முடித்தேன், నేను మీరు చెప్పిన పని పూర్తి చేశాను
இந்த வண்டி எனக்கு மிகவும் பிடித்தமானது, ఈ కారు నాకు చాలా ఇష్టం
நான் எதையும் மறக்கமாட்டேன், నేను ఏదీ మర్చిపోను
நீ என்னிடம் இதை கூறியிருந்தால், నువ్వు నాకు ఇది చెప్పుంటే
இது எனக்கு பிடிக்கவில்லை, ఇది నాకు నచ్చదు
அவள் என்னிடம் பேசினாள், ఆమె నాతో మాట్లాడింది
நான் இதை ஒருநாள் கண்டுபிடிக்கிறேன், నేను దీన్ని ఒక రోజు కనుగొంటాను
இந்தப் பழம் இனிமையாக உள்ளது, ఈ పండు తీయగా ఉంది
நான் உங்களுடன் வர விரும்புகிறேன், నేను మీతో రావాలనుకుంటున్నాను
நீ என்னை காத்திரு, నువ్వు నన్ను వేచి ఉండు
நான் அதை இப்போது செய்யவில்லையா?, నేను అది ఇప్పడు చేయలేదా?
உங்கள் பிறந்த நாள் எப்போது?, మీ పుట్టిన రోజు ఎప్పుడు?
அவன் விரைவில் திரும்பிவிடுவான், అతను త్వరగా తిరిగి వస్తాడు
