Telugu,Tamil,Tamil_tokens,Telugu_tokens
నాకు పొట్ట నొప్పి ఉంది,எனக்கு வயிறு வலி உள்ளது,"['எனக்கு', 'வயிறு', 'வலி', 'உள்ளது']","['నాకు', 'పొట్ట', 'నొప్పి', 'ఉంది']"
నువ్వు ఏమి చేస్తున్నావు,நீ என்ன செய்கிறாய்,"['நீ', 'என்ன', 'செய்கிறாய்']","['నువ్వు', 'ఏమి', 'చేస్తున్నావు']"
నువ్వు ఎక్కడికి వెళ్తున్నావు,நீ எங்கு செல்கிறாய்,"['நீ', 'எங்கு', 'செல்கிறாய்']","['నువ్వు', 'ఎక్కడికి', 'వెళ్తున్నావు']"
నువ్వు కాఫీ తాగుతావా,நீ காபி குடிப்பாயா,"['நீ', 'காபி', 'குடிப்பாயா']","['నువ్వు', 'కాఫీ', 'తాగుతావా']"
నాకు ఎక్కువ సమయం అయ్యింది,எனக்கு நீண்ட நேரம் ஆகிறது,"['எனக்கு', 'நீண்ட', 'நேரம்', 'ஆகிறது']","['నాకు', 'ఎక్కువ', 'సమయం', 'అయ్యింది']"
దీన్ని కాస్త త్వరగా చేయి,இதைக் கொஞ்சம் விரைவாக செய்,"['இதைக்', 'கொஞ்சம்', 'விரைவாக', 'செய்']","['దీన్ని', 'కాస్త', 'త్వరగా', 'చేయి']"
అతను చాలా చురుకుగా ఉన్నాడు,அவன் மிகவும் சுறுசுறுப்பானவனாக இருக்கிறான்,"['அவன்', 'மிகவும்', 'சுறுசுறுப்பானவனாக', 'இருக்கிறான்']","['అతను', 'చాలా', 'చురుకుగా', 'ఉన్నాడు']"
ఆమె అందంగా ఉంది,அவள் அழகாக இருக்கிறாள்,"['அவள்', 'அழகாக', 'இருக்கிறாள்']","['ఆమె', 'అందంగా', 'ఉంది']"
నా వెంట నడిచివా,என்னுடன் நடந்து வா,"['என்னுடன்', 'நடந்து', 'வா']","['నా', 'వెంట', 'నడిచివా']"
దీన్ని ఎలా చేయాలి,இதை எப்படி செய்வது,"['இதை', 'எப்படி', 'செய்வது']","['దీన్ని', 'ఎలా', 'చేయాలి']"
నేను తినాలి,நான் சாப்பிட வேண்டும்,"['நான்', 'சாப்பிட', 'வேண்டும்']","['నేను', 'తినాలి']"
ఈ పుస్తకం బాగుంది,இந்தப் புத்தகம் நன்றாக இருக்கிறது,"['இந்தப்', 'புத்தகம்', 'நன்றாக', 'இருக்கிறது']","['ఈ', 'పుస్తకం', 'బాగుంది']"
నేను నిన్ను ఈరోజు చూడాలనుకుంటున్నాను,நான் உன்னை இன்று பார்க்க விரும்புகிறேன்,"['நான்', 'உன்னை', 'இன்று', 'பார்க்க', 'விரும்புகிறேன்']","['నేను', 'నిన్ను', 'ఈరోజు', 'చూడాలనుకుంటున్నాను']"
నా పేరు విజయ్,என்னுடைய பெயர் விஜய்,"['என்னுடைய', 'பெயர்', 'விஜய்']","['నా', 'పేరు', 'విజయ్']"
మీ స్నేహితులు ఎక్కడ ఉన్నారు,உங்கள் நண்பர்கள் எங்கே இருக்கிறார்கள்,"['உங்கள்', 'நண்பர்கள்', 'எங்கே', 'இருக்கிறார்கள்']","['మీ', 'స్నేహితులు', 'ఎక్కడ', 'ఉన్నారు']"
నేను పనికి వెళ్ళి వస్తాను,நான் வேலைக்கு சென்று வருகிறேன்,"['நான்', 'வேலைக்கு', 'சென்று', 'வருகிறேன்']","['నేను', 'పనికి', 'వెళ్ళి', 'వస్తాను']"
నువ్వు కారు నడుపుతావా,நீ வண்டி ஓட்டுகிறாயா,"['நீ', 'வண்டி', 'ஓட்டுகிறாயா']","['నువ్వు', 'కారు', 'నడుపుతావా']"
వర్షం వచ్చింది,மழை வந்துவிட்டது,"['மழை', 'வந்துவிட்டது']","['వర్షం', 'వచ్చింది']"
నేను అతన్ని ప్రేమిస్తున్నాను,நான் அவனை நேசிக்கிறேன்,"['நான்', 'அவனை', 'நேசிக்கிறேன்']","['నేను', 'అతన్ని', 'ప్రేమిస్తున్నాను']"
నీకు ఏమి కావాలి,உனக்கு என்ன வேண்டும்,"['உனக்கு', 'என்ன', 'வேண்டும்']","['నీకు', 'ఏమి', 'కావాలి']"
మీరు ఎంత పొడవుగా ఉన్నారు,நீங்கள் எவ்வளவு உயரமாக இருக்கிறீர்கள்,"['நீங்கள்', 'எவ்வளவு', 'உயரமாக', 'இருக்கிறீர்கள்']","['మీరు', 'ఎంత', 'పొడవుగా', 'ఉన్నారు']"
నేను ఒక పాట పాడాను,நான் ஒரு பாடல் பாடினேன்,"['நான்', 'ஒரு', 'பாடல்', 'பாடினேன்']","['నేను', 'ఒక', 'పాట', 'పాడాను']"
మీరు దాన్ని ఎప్పుడూ పూర్తి చేస్తారు,நீங்கள் அதை எப்போது முடிக்கலாம்,"['நீங்கள்', 'அதை', 'எப்போது', 'முடிக்கலாம்']","['మీరు', 'దాన్ని', 'ఎప్పుడూ', 'పూర్తి', 'చేస్తారు']"
