Tamil Tokens,Telugu Tokens
எனக்கு வயிறு வலி உள்ளது,నాకు పొట్ట నొప్పి ఉంది
நீ என்ன செய்கிறாய்,నువ్వు ఏమి చేస్తున్నావు
நீ எங்கு செல்கிறாய்,నువ్వు ఎక్కడికి వెళ్తున్నావు
நீ காபி குடிப்பாயா,నువ్వు కాఫీ తాగుతావా
எனக்கு நீண்ட நேரம் ஆகிறது,నాకు ఎక్కువ సమయం అయ్యింది
இதைக் கொஞ்சம் விரைவாக செய்,దీన్ని కాస్త త్వరగా చేయి
அவன் மிகவும் சுறுசுறுப்பானவனாக இருக்கிறான்,అతను చాలా చురుకుగా ఉన్నాడు
அவள் அழகாக இருக்கிறாள்,ఆమె అందంగా ఉంది
என்னுடன் நடந்து வா,నా వెంట నడిచివా
இதை எப்படி செய்வது,దీన్ని ఎలా చేయాలి
நான் சாப்பிட வேண்டும்,నేను తినాలి
இந்தப் புத்தகம் நன்றாக இருக்கிறது,ఈ పుస్తకం బాగుంది
நான் உன்னை இன்று பார்க்க விரும்புகிறேன்,నేను నిన్ను ఈరోజు చూడాలనుకుంటున్నాను
என்னுடைய பெயர் விஜய்,నా పేరు విజయ్
உங்கள் நண்பர்கள் எங்கே இருக்கிறார்கள்,మీ స్నేహితులు ఎక్కడ ఉన్నారు
நான் வேலைக்கு சென்று வருகிறேன்,నేను పనికి వెళ్ళి వస్తాను
நீ வண்டி ஓட்டுகிறாயா,నువ్వు కారు నడుపుతావా
மழை வந்துவிட்டது,వర్షం వచ్చింది
நான் அவனை நேசிக்கிறேன்,నేను అతన్ని ప్రేమిస్తున్నాను
உனக்கு என்ன வேண்டும்,నీకు ఏమి కావాలి
நீங்கள் எவ்வளவு உயரமாக இருக்கிறீர்கள்,మీరు ఎంత పొడవుగా ఉన్నారు
நான் ஒரு பாடல் பாடினேன்,నేను ఒక పాట పాడాను
நீங்கள் அதை எப்போது முடிக்கலாம்,మీరు దాన్ని ఎప్పుడూ పూర్తి చేస్తారు
நான் சினிமாவிற்கு செல்ல விரும்புகிறேன்,నేను సినిమాకు వెళ్ళాలనుకుంటున్నాను
அவன் இப்போது என்ன செய்கிறான்,అతను ఇప్పుడేం చేస్తున్నాడు
நீ உணவு சாப்பிட்டாயா,నువ్వు భోజనం చేశావా
நான் இன்று பள்ளிக்கு சென்றேன்,నేను ఈరోజు పాఠశాలకు వెళ్లాను
அது எங்கே உள்ளது,అది ఎక్కడ ఉంది
நான் உன்னுடன் வருவேன்,నేను నీతో వస్తాను
நான் வேலை செய்துகொண்டு இருக்கிறேன்,నేను పని చేస్తున్నాను
இன்று சூரியன் அதிகமாகவிருக்கிறது,ఈ రోజు సూర్యుడు ఎక్కువగా ఉన్నాడు
எனக்கு சிறிது தண்ணீர் கொடுங்கள்,నాకు కొంచెం నీళ్లు ఇవ్వండి
நீங்கள் உங்கள் நண்பரை சந்திக்கிறீர்களா,మీరు మీ స్నేహితుడిని కలుస్తారా
இவை என்னவென்று எனக்கு தெரியவில்லை,ఇవి ఏమిటో నాకు తెలియదు
உங்கள் வீட்டிற்கு எப்போது போகிறீர்கள்,మీ ఇంటికి ఎప్పుడు వెళ్ళతారు
நான் நீங்கள் கூறியதை செய்து முடித்தேன்,నేను మీరు చెప్పిన పని పూర్తి చేశాను
இந்த வண்டி எனக்கு மிகவும் பிடித்தமானது,ఈ కారు నాకు చాలా ఇష్టం
நான் எதையும் மறக்கமாட்டேன்,నేను ఏదీ మర్చిపోను
நீ என்னிடம் இதை கூறியிருந்தால்,నువ్వు నాకు ఇది చెప్పుంటే
இது எனக்கு பிடிக்கவில்லை,ఇది నాకు నచ్చదు
அவள் என்னிடம் பேசினாள்,ఆమె నాతో మాట్లాడింది
நான் இதை ஒருநாள் கண்டுபிடிக்கிறேன்,నేను దీన్ని ఒక రోజు కనుగొంటాను
இந்தப் பழம் இனிமையாக உள்ளது,ఈ పండు తీయగా ఉంది
நான் உங்களுடன் வர விரும்புகிறேன்,నేను మీతో రావాలనుకుంటున్నాను
நீ என்னை காத்திரு,నువ్వు నన్ను వేచి ఉండు
நான் அதை இப்போது செய்யவில்லையா,నేను అది ఇప్పడు చేయలేదా
உங்கள் பிறந்த நாள் எப்போது,మీ పుట్టిన రోజు ఎప్పుడు
அவன் விரைவில் திரும்பிவிடுவான்,అతను త్వరగా తిరిగి వస్తాడు
இந்தக் கோடு நல்லது,ఈ లైన్ బాగుంది
நான் உங்கள் உதவியைப் பெற விரும்புகிறேன்,నేను మీ సహాయాన్ని పొందాలనుకుంటున్నాను
இந்த முறை என்னால் முடியாது,ఈసారి నాకు కుదరదు
இது மிகவும் விலை உயர்ந்தது,ఇది చాలా ఖరీదైనది
உங்களிடம் என்ன கேட்கிறீர்கள்,మీరు ఏమి అడుగుతున్నారు
நான் உங்களுடன் இருப்பேன்,నేను మీతో ఉంటాను
உன் நேரம் என்ன,నీ సమయం ఎంత
இன்று நான் மிகவும் சோர்வாக இருக்கிறேன்,ఈరోజు నేను చాలా అలసిపోయాను
நான் சிறிது நேரம் பேச விரும்புகிறேன்,నేను కొంత సమయం మాట్లాడాలనుకుంటున్నాను
இது எவ்வளவு தூரம் உள்ளது,ఇది ఎంత దూరం ఉంది
அவள் படிக்கும் பொழுது மிகவும் கவனமாக இருக்கிறாள்,ఆమె చదువుతున్నప్పుడు చాలా జాగ్రత్తగా ఉంటుంది
நான் இந்த வேலையை முடித்துவிடுவேன்,నేను ఈ పనిని పూర్తిచేస్తాను
உன்னைப் பற்றி எனக்கு அதிகமாக தெரியும்,నీ గురించి నాకు చాలా తెలుసు
உன்னை நாளை சந்திக்க விரும்புகிறேன்,నిన్ను రేపు కలవాలనుకుంటున్నాను
நான் உங்களை உண்மையிலேயே பாராட்டுகிறேன்,నేను మిమ్మల్ని నిజంగా మెచ్చుకుంటున్నాను
இந்த உணவு சுவையாக இருக்கிறது,ఈ ఆహారం రుచిగా ఉంది
இப்போதும் நீ என்னை காதலிக்கிறாயா,ఇప్పటికీ నువ్వు నన్ను ప్రేమిస్తున్నావా
எனக்கு உங்களிடம் கேட்க சில கேள்விகள் உள்ளன,నాకు మీకు అడగడానికి కొన్ని ప్రశ్నలు ఉన్నాయి
உங்கள் தந்தை எங்கே இருக்கிறார்,మీ నాన్న ఎక్కడ ఉన్నారు
நீங்கள் எப்போது இந்தியா சென்றீர்கள்,మీరు ఎప్పుడూ భారతదేశానికి వెళ్ళారు
நான் உங்களைப் பற்றி கேள்விப்பட்டேன்,నేను మీ గురించి విన్నాను
நான் உன்னை எவ்வளவு விரும்புகிறேன் என்று உனக்குத் தெரியுமா,నేను నిన్ను ఎంతగా ప్రేమిస్తున్నానో నీకు తెలుసా
இங்கு நீங்கள் வேலை செய்கிறீர்களா,మీరు ఇక్కడ పని చేస్తారా
நீ ஏன் என்னிடம் பேசவில்லை,నువ్వు ఎందుకు నాతో మాట్లాడలేదు
நான் சிறிது நேரம் இங்கே இருந்தேன்,నేను కొద్దిసేపు ఇక్కడ ఉన్నాను
உனக்கு என்னை மறந்துவிட்டாயா,నువ్వు నన్ను మర్చిపోయావా
நான் உங்களுக்காக இதைச் செய்கிறேன்,నేను మీ కోసం ఇది చేస్తున్నాను
இந்த வேலை எவ்வளவு கடினம்,ఈ పని ఎంత కష్టం
நான் உங்கள் உதவியை மிகவும் வரவேற்கிறேன்,నేను మీ సహాయాన్ని నిజంగా అభినందిస్తున్నాను
இது எனக்கு மிகவும் புதிதானது,ఇది నాకు చాలా కొత్త
நான் உங்கள் பிறந்தநாளை மறக்கவில்லை,నేను మీ పుట్టినరోజు మరచిపోలేదు
நீங்கள் இதை எங்கு வாங்கினீர்கள்,మీరు దాన్ని ఎక్కడ కొనుగోలు చేశారు
உங்கள் சொந்த நாட்டிற்குத் திரும்ப விரும்புகிறீர்களா,మీ సొంత దేశానికి తిరిగి రావాలనుకుంటున్నారా
அவள் மிகவும் புத்திசாலியாக இருக்கிறாள்,ఆమె చాలా తెలివిగా ఉంది
நீங்கள் எதைச் செய்கிறீர்கள்,మీరు ఏమి చేస్తున్నారో
நான் இன்னும் திட்டம் செய்யவில்லை,నేను ఇంకా ప్రణాళిక చేయలేదు
இந்த வானிலை அழகாக இருக்கிறது,ఈ వాతావరణం అందంగా ఉంది
உங்களுக்கு குளிக்க விருப்பமா,మీరు స్నానం చేయాలనుకుంటున్నారా
இப்போது நீங்கள் என்ன செய்கிறீர்கள்,మీరు ఇప్పుడు ఏమి చేస్తున్నారు
இந்தப் பைக் உங்களுக்கு வேண்டுமா,ఈ బైక్ నీకు కావాలా
நீங்கள் எப்படி உணர்கிறீர்கள்,మీరు ఎలా ఫీల్ అవుతున్నారు
நீங்கள் எவ்வளவு நாளாக இங்கு இருக்கிறீர்கள்,మీరు ఎంతకాలం ఇక్కడ ఉన్నారు
இந்த வருடம் என்னவாக இருக்கிறது,ఈ సంవత్సరం ఏమిటి
எனக்கு இந்தப் புத்தகங்கள் மிகவும் பிடிக்கும்,నాకు ఈ పుస్తకాలు చాలా ఇష్టం
நீ இப்போது என்ன செய்கிறாய்,నువ్వు ఇప్పుడు ఏమి చేస్తున్నావు
இது எவ்வளவு விலையா,ఇది ఎంత ఖరీదు
நீங்கள் என்னிடம் இதை கூறியிருந்தால்,మీరు నాకు ఇది చెప్పి ఉండేరు
நீங்கள் என்னைப் பற்றி நினைக்கிறீர்களா,మీరు నా గురించి ఆలోచిస్తున్నారా
நான் உங்களுக்கு என்ன செய்ய வேண்டும்,నేను మీకు ఏమి చేయాలి
நீ எப்போது வீட்டிற்கு திரும்புகிறாய்,నువ్వు ఎప్పుడూ ఇంటికి తిరిగి వస్తావు
இந்தப் பெட்டி எங்கே இருந்து வந்தது,ఈ బాక్స్ ఎక్కడి నుంచి వచ్చింది
உங்கள் வேலைக்கு என்ன நேரம்,మీ పనికి సమయం ఎంత
தோல் அமைப்புமுறை மேம்படுத்த,చర్మ అభివృద్ధి
நடவடிக்கைகள் எண்ணிக்கை,దశల్లో సంఖ్య
மேலும் நிறுவனங்கள் எங்களுடன் ஏற்கனவே,మరింత కంపెనీలు మాతో ఉన్నారు
அவர் வயதாக இருக்கும்,అతను సంవత్సరాలు
சொல்லுங்கள் உங்கள் நண்பர்களுடன் பகிர்ந்து,మాకు తెలియజేయండి మరియు మీ స్నేహితులతో భాగస్వామ్యం
எனக்கு தெரியாது,నాకు తెలియదు
நாம் எப்போதும் உங்களுக்கு உதவ மகிழ்கிறோம் நன்றி,మేము ఎల్లప్పుడూ మీకు సహాయం సంతోషంగా ఉన్నాయి ధన్యవాదాలు
மேலும் வாசிக்க,మరింత చదవండి
தொலைபேசி,ఫోన్
ஷெல்லி நான் உங்களுக்கு என்ன செய்ய முடியும்,షెల్లీ నేను మీరు కోసం చేయవచ్చు ఏమి
மேலும் படிக்க,కూడా చదవండి
நீங்கள் எவ்வளவு சொன்னீர்கள்,మీరు ఎంత చెప్పావు
எப்போதும் நடந்ததில்லை,ఆ ఎప్పుడూ జరగలేదు
ஆனால் அங்கு நிறுத்த வேண்டாம்,కానీ అక్కడ ఆపడానికి లేదు
உங்களுக்காக நான் என்ன செய்ய முடியும்,నేను మీకు ఎలా సహాయపడగలను
ஏன் எப்படி யார் என்ன மூலம்,ఎందుకు ఎలా ఎవరు ఏమి ద్వారా
நீங்கள் உலகில் என்ன நினைக்கிறீர்கள்,మీరు ప్రపంచంలో ఏ ఆలోచిస్తే
நீங்கள் அவற்றை திரும்ப பெற என்ன செய்ய வேண்டும்,మీరు వాటిని తిరిగి పొందడానికి ఏమి చేయాలి
உம்முடைய இரட்சிப்பு உம்மிடத்தில் இருக்கிறது,నీవు ప్రజలందరి యెదుట సిద్ధం చేసిన
புதிய நீங்கள் அதை விரும்பவில்லை என நம்மை பின்பற்ற,కొత్త మీరు కావలసిన మాకు అనుసరించండి
அவ்யக்த தோற்றமற்ற அக்ஷர அழிவற்ற இதி இவ்வாறாக உக்த கூறப்படும் தம் அந்த ஆஹு அறியப்பட்ட பரமாம் பரம கதிம் கதி யம் எதை ப்ராப்ய அடைந்தபின் ந என்றும் இல்லை நிவர்த்தந்தே திரும்பி வருவது தத் அந்த தாம இருப்பிடம் பரமம் பரம மம எனது,అవ్యక్త వ్యక్తముకానిది అక్షర నాశములేనిది ఇతి ఆ విధముగా ఉక్త చెప్పబడినది తం అది ఆహు తెలియబడినది పరమాంగతిమ్ తుది గమ్యము యం దేనిని ప్రాప్య పొంది న నివర్తన్తే తిరిగిరారో తత్ అట్టి ధామ ధామము పరమం దివ్యమైనది మమ నా యొక్క
நாம் எப்போதும் உங்களுக்கு உதவ தயாராக உள்ளன,మేము ఎల్లప్పుడూ మీరు సహాయం సిద్ధంగా ఉన్నారు
எங்களுக்கு யார் நாங்கள் உங்களுக்கு என்ன செய்ய முடியும்,మాకు ఎవరు మేము మీరు కోసం చేయవచ్చు ఏమి
மற்றும்,మరియు
ஆனால் முதலில் அப்படி என்றால் என்ன,కానీ ముందుగా ఇది ఏమిటి
இப்பொழுது நாம் என்ன செய்ய,మేము ఇప్పుడు ఏమి
நான் ஏன் இதை செய்கிறேன்,ఎందుకు నేను ఇలా చేస్తున్నాను
நீங்கள் இங்கு மேலும் அறியலாம்,మీరు మరింత ఇక్కడ తెలుసుకోవచ్చు
எங்கே தொடங்க,ఎక్కడ మొదలు
அவர்களை இயேசு கொடு,వాటిని యేసు ఇవ్వండి
நீங்கள் அனைவரும் அனுபவித்தோம் என்று நம்புகிறோம்,మేము మీరు అన్ని ఆనందించారు ఆశిస్తున్నాము
அது கொண்ட வடிவம்,పదార్థం అది చేసే నుండి
நீங்கள் தேடியது இல்லையா எப்படி,మీరు కోరుకున్నది కాదా గురించి ఎలా
அதனால் நான் எப்படி செய்தேன்,నేను ఎలా చేసాను
அதை முயற்சி மற்றும் அனுபவிக்க,అది ప్రయత్నించండి మరియు ఆనందించండి
முகப்பு,హోమ్
டெல்,టెల్
நான் யார்,నేను ఎవరు
அமெரிக்காவில் இருந்து திரும்பிய,అమెరికా నుండి తిరిగి
சிரிக்க கூடாது முயற்சி,నవ్వు కాదు ప్రయత్నించండి
மிகவும் நன்றி,చాలా ధన్యవాదాలు
நீங்கள் இப்போது நீங்கள் செய்ய முடிந்தவை,మీరు ఇప్పుడు చేయవచ్చు
உங்களுக்கு தெரியப்படுத்துங்கள்,జస్ట్ మీకు తెలియజేయాలనుకుంటున్నాను
